                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.0378,                0.96224,                 1.2771,                0.66712,                0.66309,                0.68018,                0.47618,                 1.1274,                 1.1863,                 1.6173,             0.00086312,             0.00086312,             0.00086312
                     51,                 1.0248,                0.96878,                 1.2947,                0.71289,                0.68124,                0.73073,                0.52292,                 1.0969,                 1.0917,                 1.5828,             0.00085133,             0.00085133,             0.00085133
                     52,                  1.026,                0.95006,                   1.28,                0.66987,                0.73699,                0.71476,                0.51463,                 1.0987,                  1.066,                 1.6008,             0.00083954,             0.00083954,             0.00083954
                     53,                 1.0466,                0.95574,                   1.29,                0.67875,                0.69908,                0.71592,                0.51741,                 1.0931,                 1.1015,                 1.6142,             0.00082775,             0.00082775,             0.00082775
                     54,                 1.0137,                0.94636,                 1.2826,                0.68036,                0.66958,                0.68855,                0.49548,                 1.0907,                 1.1122,                 1.5805,             0.00081596,             0.00081596,             0.00081596
                     55,                 1.0144,                0.92072,                 1.2711,                0.70199,                0.70818,                0.71787,                0.51952,                 1.1192,                 1.0725,                 1.6134,             0.00080417,             0.00080417,             0.00080417
                     56,                 1.0187,                0.92705,                 1.2798,                 0.6574,                0.67058,                0.71591,                0.50609,                 1.1365,                 1.1742,                 1.6288,             0.00079238,             0.00079238,             0.00079238
                     57,                 1.0192,                0.92223,                 1.2738,                0.67958,                0.69605,                0.72115,                0.52106,                 1.0699,                 1.0486,                 1.5913,             0.00078059,             0.00078059,             0.00078059
                     58,                 1.0127,                0.91912,                 1.2624,                0.68253,                0.68584,                0.70987,                0.50381,                 1.1172,                 1.1473,                 1.6304,              0.0007688,              0.0007688,              0.0007688
                     59,                  1.004,                0.89914,                 1.2653,                   0.68,                0.66187,                 0.6867,                0.49067,                 1.1169,                 1.1717,                 1.6361,             0.00075701,             0.00075701,             0.00075701
                     60,                 1.0197,                0.92083,                 1.2677,                0.65838,                0.70871,                0.70066,                0.49656,                 1.0985,                  1.139,                 1.5992,             0.00074522,             0.00074522,             0.00074522
                     61,                0.99817,                0.89636,                 1.2646,                0.73293,                0.64253,                0.71721,                0.51109,                 1.1289,                 1.1397,                 1.6458,             0.00073343,             0.00073343,             0.00073343
                     62,                 1.0207,                0.90977,                 1.2805,                 0.6889,                 0.6894,                0.73225,                0.52833,                 1.0804,                 1.0873,                 1.5797,             0.00072164,             0.00072164,             0.00072164
                     63,                0.99381,                0.88624,                 1.2563,                0.68923,                0.69435,                0.71943,                0.51853,                 1.1101,                 1.0578,                 1.6152,             0.00070986,             0.00070986,             0.00070986
                     64,                0.98566,                0.88637,                 1.2472,                0.74645,                0.63163,                0.73178,                 0.5269,                 1.1572,                 1.1136,                 1.6614,             0.00069807,             0.00069807,             0.00069807
                     65,                0.98815,                 0.8803,                 1.2465,                0.72755,                0.69612,                0.71993,                0.52778,                 1.1052,                 1.0676,                 1.6162,             0.00068628,             0.00068628,             0.00068628
                     66,                0.97466,                0.88266,                   1.25,                0.69888,                0.70952,                0.72403,                 0.5123,                  1.117,                 1.1268,                 1.6139,             0.00067449,             0.00067449,             0.00067449
                     67,                0.97687,                0.87563,                 1.2541,                0.67121,                0.74295,                0.74204,                0.53038,                  1.107,                 1.0649,                 1.6159,              0.0006627,              0.0006627,              0.0006627
                     68,                0.98578,                0.85074,                 1.2432,                0.70145,                0.70911,                0.71615,                0.50672,                 1.1614,                 1.0924,                 1.6989,             0.00065091,             0.00065091,             0.00065091
                     69,                 0.9846,                0.84122,                 1.2458,                0.73198,                0.69089,                0.73294,                0.52343,                 1.1266,                 1.0577,                 1.6417,             0.00063912,             0.00063912,             0.00063912
                     70,                0.96296,                0.85049,                 1.2374,                0.70498,                0.69357,                0.72648,                 0.5305,                 1.0966,                 1.0904,                 1.6063,             0.00062733,             0.00062733,             0.00062733
                     71,                0.96047,                0.84473,                 1.2322,                0.67804,                0.71531,                0.71048,                0.52075,                 1.0943,                 1.0808,                 1.6262,             0.00061554,             0.00061554,             0.00061554
                     72,                0.97352,                0.85941,                 1.2354,                 0.7501,                 0.7003,                0.74749,                 0.5385,                 1.1256,                 1.0555,                 1.6494,             0.00060375,             0.00060375,             0.00060375
                     73,                0.95875,                 0.8263,                 1.2356,                0.73244,                0.69928,                0.73796,                0.53729,                 1.1186,                  1.081,                 1.6748,             0.00059196,             0.00059196,             0.00059196
                     74,                0.95505,                0.83981,                 1.2343,                0.75244,                0.69415,                0.74751,                0.54901,                 1.1115,                 1.0423,                 1.6557,             0.00058017,             0.00058017,             0.00058017
                     75,                0.94299,                0.82012,                 1.2256,                0.71924,                0.71803,                0.73308,                 0.5354,                 1.0869,                 1.0296,                 1.6265,             0.00056838,             0.00056838,             0.00056838
                     76,                0.95612,                0.81712,                 1.2307,                 0.7383,                0.71462,                0.73586,                 0.5413,                 1.0907,                 1.0219,                  1.606,              0.0005566,              0.0005566,              0.0005566
                     77,                 0.9424,                0.79605,                 1.2227,                0.73803,                0.69102,                0.73409,                0.53454,                 1.0823,                  1.022,                 1.6061,             0.00054481,             0.00054481,             0.00054481
                     78,                0.94069,                0.80665,                  1.216,                0.72942,                0.72481,                0.73981,                0.54402,                 1.0776,                 1.0221,                 1.5997,             0.00053302,             0.00053302,             0.00053302
                     79,                0.94446,                0.82637,                 1.2204,                0.71464,                0.72138,                0.74155,                0.54376,                 1.0779,                 1.0208,                 1.5978,             0.00052123,             0.00052123,             0.00052123
                     80,                0.93647,                0.78416,                 1.2135,                0.70779,                0.71836,                0.75568,                0.56419,                 1.0389,                 1.0288,                 1.5662,             0.00050944,             0.00050944,             0.00050944
                     81,                0.93551,                0.78938,                 1.2141,                0.73723,                0.67345,                0.73041,                0.52812,                 1.1007,                 1.0685,                 1.6143,             0.00049765,             0.00049765,             0.00049765
                     82,                0.91615,                0.78587,                 1.2198,                0.69575,                0.73053,                0.74524,                0.54657,                 1.0918,                 1.0247,                 1.6142,             0.00048586,             0.00048586,             0.00048586
                     83,                0.93666,                0.77873,                 1.2144,                0.73065,                0.70281,                0.74437,                0.55173,                 1.0818,                  1.034,                 1.5915,             0.00047407,             0.00047407,             0.00047407
                     84,                0.92037,                0.77711,                 1.2152,                0.73138,                 0.6997,                0.74062,                0.54656,                  1.078,                 1.0052,                 1.6022,             0.00046228,             0.00046228,             0.00046228
                     85,                0.91962,                0.79456,                 1.2113,                0.74884,                0.68626,                 0.7369,                 0.5436,                  1.064,                 1.0253,                 1.5839,             0.00045049,             0.00045049,             0.00045049
                     86,                0.91287,                0.76641,                 1.2078,                0.72285,                0.72176,                0.75913,                0.56642,                 1.0575,                0.97877,                 1.5714,              0.0004387,              0.0004387,              0.0004387
                     87,                 0.9168,                0.77615,                 1.2149,                0.70113,                0.72324,                0.71959,                0.52649,                 1.0637,                 1.0442,                 1.5925,             0.00042691,             0.00042691,             0.00042691
                     88,                0.91635,                0.77175,                  1.209,                0.75062,                0.69462,                0.74432,                0.54951,                 1.0591,                 1.0018,                 1.5929,             0.00041512,             0.00041512,             0.00041512
                     89,                0.92375,                0.76064,                 1.2047,                0.71108,                0.71145,                0.73051,                0.53826,                 1.0857,                 1.0563,                 1.6063,             0.00040334,             0.00040334,             0.00040334
                     90,                0.90676,                0.75075,                 1.1988,                0.72292,                 0.7176,                0.73619,                0.54525,                 1.0752,                  1.068,                 1.6101,             0.00039155,             0.00039155,             0.00039155
                     91,                0.90126,                0.75142,                 1.2008,                0.73969,                0.70766,                 0.7551,                0.55227,                  1.097,                  1.036,                 1.6194,             0.00037976,             0.00037976,             0.00037976
                     92,                0.90903,                0.75576,                 1.2022,                0.69401,                0.74647,                0.73745,                 0.5433,                 1.0833,                 1.0309,                 1.6071,             0.00036797,             0.00036797,             0.00036797
                     93,                0.89069,                0.72887,                 1.1923,                0.75588,                0.69815,                0.75843,                 0.5604,                 1.0703,                 1.0218,                 1.6055,             0.00035618,             0.00035618,             0.00035618
                     94,                0.89499,                0.72474,                 1.1881,                0.72918,                0.72355,                0.73705,                0.54111,                  1.079,                 1.0312,                 1.6009,             0.00034439,             0.00034439,             0.00034439
                     95,                0.88681,                0.72846,                 1.1764,                0.71057,                0.72326,                 0.7455,                0.54609,                 1.0787,                 1.0356,                 1.6102,              0.0003326,              0.0003326,              0.0003326
                     96,                0.88846,                0.73968,                 1.1912,                0.70373,                0.72993,                0.75274,                 0.5608,                 1.0872,                 1.0083,                 1.6286,             0.00032081,             0.00032081,             0.00032081
                     97,                0.88196,                0.71309,                 1.1875,                0.74627,                0.71192,                0.75446,                0.56405,                 1.1015,                 1.0078,                 1.6465,             0.00030902,             0.00030902,             0.00030902
                     98,                0.87885,                0.71555,                 1.1797,                 0.7459,                0.71722,                0.74289,                0.55203,                 1.1018,                 1.0793,                 1.6373,             0.00029723,             0.00029723,             0.00029723
                     99,                0.88849,                  0.715,                 1.1819,                0.73891,                0.70884,                0.73853,                 0.5492,                 1.0869,                  1.057,                 1.6157,             0.00028544,             0.00028544,             0.00028544
                    100,                0.87535,                0.71549,                 1.1747,                0.72703,                0.72373,                0.72832,                0.53144,                 1.0969,                 1.0781,                 1.6125,             0.00027365,             0.00027365,             0.00027365
